word,sentiment
inspiration,positive
inspirational,positive
integrity,positive
invent,positive
invented,positive
inventing,positive
invention,positive
inventions,positive
inventive,positive
inventiveness,positive
inventor,positive
inventors,positive
leadership,positive
leading,positive
loyal,positive
lucrative,positive
meritorious,positive
opportunities,positive
opportunity,positive
optimistic,positive
outperform,positive
outperformed,positive
outperforming,positive
outperforms,positive
perfect,positive
perfected,positive
perfectly,positive
perfects,positive
pleasant,positive
pleasantly,positive
pleased,positive
pleasure,positive
plentiful,positive
popular,positive
popularity,positive
positive,positive
positively,positive
preeminence,positive
preeminent,positive
premier,positive
premiere,positive
prestige,positive
prestigious,positive
proactive,positive
proactively,positive
proficiency,positive
proficient,positive
proficiently,positive
profitability,positive
profitable,positive
profitably,positive
progress,positive
progressed,positive
progresses,positive
progressing,positive
prospered,positive
prospering,positive
prosperity,positive
prosperous,positive
prospers,positive
rebound,positive
rebounded,positive
rebounding,positive
receptive,positive
regain,positive
regained,positive
regaining,positive
resolve,positive
revolutionize,positive
revolutionized,positive
revolutionizes,positive
revolutionizing,positive
reward,positive
rewarded,positive
rewarding,positive
rewards,positive
satisfaction,positive
satisfactorily,positive
satisfactory,positive
satisfied,positive
satisfies,positive
satisfy,positive
satisfying,positive
smooth,positive
smoothing,positive
smoothly,positive
smooths,positive
solves,positive
solving,positive
spectacular,positive
spectacularly,positive
stability,positive
stabilization,positive
stabilizations,positive
stabilize,positive
stabilized,positive
stabilizes,positive
stabilizing,positive
stable,positive
strength,positive
strengthen,positive
strengthened,positive
strengthening,positive
strengthens,positive
strengths,positive
strong,positive
stronger,positive
strongest,positive
succeed,positive
succeeded,positive
succeeding,positive
succeeds,positive
success,positive
successes,positive
successful,positive
successfully,positive
superior,positive
surpass,positive
surpassed,positive
surpasses,positive
surpassing,positive
transparency,positive
tremendous,positive
tremendously,positive
unmatched,positive
unparalleled,positive
unsurpassed,positive
upturn,positive
upturns,positive
valuable,positive
versatile,positive
versatility,positive
vibrancy,positive
vibrant,positive
win,positive
winner,positive
winners,positive
winning,positive
worthy,positive
abandon,negative
abandoned,negative
abandoning,negative
abandonment,negative
abandonments,negative
abandons,negative
abdicated,negative
abdicates,negative
abdicating,negative
abdication,negative
abdications,negative
aberrant,negative
aberration,negative
aberrational,negative
aberrations,negative
abetting,negative
abnormal,negative
abnormalities,negative
abnormality,negative
abnormally,negative
abolish,negative
abolished,negative
abolishes,negative
abolishing,negative
abrogate,negative
abrogated,negative
abrogates,negative
abrogating,negative
abrogation,negative
abrogations,negative
abrupt,negative
abruptly,negative
abruptness,negative
absence,negative
absences,negative
absenteeism,negative
abuse,negative
abused,negative
abuses,negative
abusing,negative
abusive,negative
abusively,negative
abusiveness,negative
accident,negative
accidental,negative
accidentally,negative
accidents,negative
accusation,negative
accusations,negative
accuse,negative
accused,negative
accuses,negative
accusing,negative
acquiesce,negative
acquiesced,negative
acquiesces,negative
acquiescing,negative
acquit,negative
acquits,negative
acquittal,negative
acquittals,negative
acquitted,negative
acquitting,negative
adulterate,negative
adulterated,negative
adulterating,negative
adulteration,negative
adulterations,negative
adversarial,negative
adversaries,negative
adversary,negative
adverse,negative
adversely,negative
adversities,negative
adversity,negative
aftermath,negative
aftermaths,negative
against,negative
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggravation,negative
aggravations,negative
alerted,negative
alerting,negative
alienate,negative
alienated,negative
alienates,negative
alienating,negative
alienation,negative
alienations,negative
allegation,negative
allegations,negative
allege,negative
alleged,negative
allegedly,negative
alleges,negative
alleging,negative
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoying,negative
annoys,negative
annul,negative
annulled,negative
annulling,negative
annulment,negative
annulments,negative
annuls,negative
anomalies,negative
anomalous,negative
anomalously,negative
anomaly,negative
anticompetitive,negative
antitrust,negative
argue,negative
argued,negative
arguing,negative
argument,negative
argumentative,negative
arguments,negative
arrearage,negative
arrearages,negative
arrears,negative
arrest,negative
arrested,negative
arrests,negative
artificially,negative
assault,negative
assaulted,negative
assaulting,negative
assaults,negative
assertions,negative
attrition,negative
aversely,negative
backdating,negative
bad,negative
bail,negative
bailout,negative
balk,negative
balked,negative
bankrupt,negative
bankruptcies,negative
bankruptcy,negative
bankrupted,negative
bankrupting,negative
bankrupts,negative
bans,negative
barred,negative
barrier,negative
barriers,negative
bottleneck,negative
bottlenecks,negative
boycott,negative
boycotted,negative
boycotting,negative
boycotts,negative
breach,negative
breached,negative
breaches,negative
breaching,negative
break,negative
breakage,negative
breakages,negative
breakdown,negative
breakdowns,negative
breaking,negative
breaks,negative
bribe,negative
bribed,negative
briberies,negative
bribery,negative
bribes,negative
bribing,negative
bridge,negative
broken,negative
burden,negative
burdened,negative
burdening,negative
burdens,negative
burdensome,negative
burned,negative
calamities,negative
calamitous,negative
calamity,negative
cancel,negative
canceled,negative
canceling,negative
cancellation,negative
cancellations,negative
cancelled,negative
cancelling,negative
cancels,negative
careless,negative
carelessly,negative
carelessness,negative
catastrophe,negative
catastrophes,negative
catastrophic,negative
catastrophically,negative
caution,negative
cautionary,negative
cautioned,negative
cautioning,negative
cautions,negative
cease,negative
ceased,negative
ceases,negative
ceasing,negative
censure,negative
censured,negative
censures,negative
censuring,negative
challenge,negative
challenged,negative
challenges,negative
challenging,negative
chargeoffs,negative
circumvent,negative
circumvented,negative
circumventing,negative
circumvention,negative
circumventions,negative
circumvents,negative
claiming,negative
claims,negative
clawback,negative
closed,negative
closeout,negative
closeouts,negative
closing,negative
closings,negative
closure,negative
closures,negative
coerce,negative
coerced,negative
coerces,negative
coercing,negative
coercion,negative
coercive,negative
collapse,negative
collapsed,negative
collapses,negative
collapsing,negative
collision,negative
collisions,negative
collude,negative
colluded,negative
colludes,negative
colluding,negative
collusion,negative
collusions,negative
collusive,negative
complain,negative
complained,negative
complaining,negative
complains,negative
complaint,negative
complaints,negative
complicate,negative
complicated,negative
complicates,negative
complicating,negative
complication,negative
complications,negative
compulsion,negative
concealed,negative
concealing,negative
concede,negative
conceded,negative
concedes,negative
conceding,negative
concern,negative
concerned,negative
concerns,negative
conciliating,negative
conciliation,negative
conciliations,negative
condemn,negative
condemnation,negative
condemnations,negative
condemned,negative
condemning,negative
condemns,negative
condone,negative
condoned,negative
confess,negative
confessed,negative
confesses,negative
confessing,negative
confession,negative
confine,negative
confined,negative
confinement,negative
confinements,negative
confines,negative
confining,negative
confiscate,negative
confiscated,negative
confiscates,negative
confiscating,negative
confiscation,negative
confiscations,negative
conflict,negative
conflicted,negative
conflicting,negative
conflicts,negative
confront,negative
confrontation,negative
confrontational,negative
confrontations,negative
confronted,negative
confronting,negative
confronts,negative
confuse,negative
confused,negative
confuses,negative
confusing,negative
confusingly,negative
confusion,negative
conspiracies,negative
conspiracy,negative
conspirator,negative
conspiratorial,negative
conspirators,negative
conspire,negative
conspired,negative
conspires,negative
conspiring,negative
contempt,negative
contend,negative
contended,negative
contending,negative
contends,negative
contention,negative
contentions,negative
contentious,negative
contentiously,negative
contested,negative
contesting,negative
contraction,negative
contractions,negative
contradict,negative
contradicted,negative
contradicting,negative
contradiction,negative
contradictions,negative
contradictory,negative
contradicts,negative
contrary,negative
controversial,negative
controversies,negative
controversy,negative
convict,negative
convicted,negative
convicting,negative
conviction,negative
convictions,negative
corrected,negative
correcting,negative
correction,negative
corrections,negative
corrects,negative
corrupt,negative
corrupted,negative
corrupting,negative
corruption,negative
corruptions,negative
corruptly,negative
corruptness,negative
costly,negative
counterclaim,negative
counterclaimed,negative
counterclaiming,negative
counterclaims,negative
counterfeit,negative
counterfeited,negative
counterfeiter,negative
counterfeiters,negative
counterfeiting,negative
counterfeits,negative
countermeasure,negative
countermeasures,negative
crime,negative
crimes,negative
criminal,negative
criminally,negative
criminals,negative
crises,negative
crisis,negative
critical,negative
critically,negative
criticism,negative
criticisms,negative
criticize,negative
criticized,negative
criticizes,negative
criticizing,negative
crucial,negative
crucially,negative
culpability,negative
culpable,negative
culpably,negative
cumbersome,negative
curtail,negative
curtailed,negative
curtailing,negative
curtailment,negative
curtailments,negative
curtails,negative
cut,negative
cutback,negative
cutbacks,negative
cyberattack,negative
cyberattacks,negative
cyberbullying,negative
cybercrime,negative
cybercrimes,negative
cybercriminal,negative
cybercriminals,negative
damage,negative
damaged,negative
damages,negative
damaging,negative
dampen,negative
dampened,negative
danger,negative
dangerous,negative
dangerously,negative
dangers,negative
deadlock,negative
deadlocked,negative
deadlocking,negative
deadlocks,negative
deadweight,negative
deadweights,negative
debarment,negative
debarments,negative
debarred,negative
deceased,negative
deceit,negative
deceitful,negative
deceitfulness,negative
deceive,negative
deceived,negative
deceives,negative
deceiving,negative
deception,negative
deceptions,negative
deceptive,negative
deceptively,negative
decline,negative
declined,negative
declines,negative
declining,negative
deface,negative
defaced,negative
defacement,negative
defamation,negative
defamations,negative
defamatory,negative
defame,negative
defamed,negative
defames,negative
defaming,negative
default,negative
defaulted,negative
defaulting,negative
defaults,negative
defeat,negative
defeated,negative
defeating,negative
defeats,negative
defect,negative
defective,negative
defects,negative
defend,negative
defendant,negative
defendants,negative
defended,negative
defending,negative
defends,negative
defensive,negative
defer,negative
deficiencies,negative
deficiency,negative
deficient,negative
deficit,negative
deficits,negative
defraud,negative
defrauded,negative
defrauding,negative
defrauds,negative
defunct,negative
degradation,negative
degradations,negative
degrade,negative
degraded,negative
degrades,negative
degrading,negative
delay,negative
delayed,negative
delaying,negative
delays,negative
deleterious,negative
deliberate,negative
deliberated,negative
deliberately,negative
delinquencies,negative
delinquency,negative
delinquent,negative
delinquently,negative
delinquents,negative
delist,negative
delisted,negative
delisting,negative
delists,negative
demise,negative
demised,negative
demises,negative
demising,negative
demolish,negative
demolished,negative
demolishes,negative
demolishing,negative
demolition,negative
demolitions,negative
demote,negative
demoted,negative
demotes,negative
demoting,negative
demotion,negative
demotions,negative
denial,negative
denials,negative
denied,negative
denies,negative
denigrate,negative
denigrated,negative
denigrates,negative
denigrating,negative
denigration,negative
deny,negative
denying,negative
deplete,negative
depleted,negative
depletes,negative
depleting,negative
depletion,negative
depletions,negative
deprecation,negative
depress,negative
depressed,negative
depresses,negative
depressing,negative
deprivation,negative
deprive,negative
deprived,negative
deprives,negative
depriving,negative
derelict,negative
dereliction,negative
derogatory,negative
destabilization,negative
destabilize,negative
destabilized,negative
destabilizing,negative
destroy,negative
destroyed,negative
destroying,negative
destroys,negative
destruction,negative
destructive,negative
detain,negative
detained,negative
detention,negative
detentions,negative
deter,negative
deteriorate,negative
deteriorated,negative
deteriorates,negative
deteriorating,negative
deterioration,negative
deteriorations,negative
deterred,negative
deterrence,negative
deterrences,negative
deterrent,negative
deterrents,negative
deterring,negative
deters,negative
detract,negative
detracted,negative
detracting,negative
detriment,negative
detrimental,negative
detrimentally,negative
detriments,negative
devalue,negative
devalued,negative
devalues,negative
devaluing,negative
devastate,negative
devastated,negative
devastating,negative
devastation,negative
deviate,negative
deviated,negative
deviates,negative
deviating,negative
deviation,negative
deviations,negative
devolve,negative
devolved,negative
devolves,negative
devolving,negative
difficult,negative
difficulties,negative
difficultly,negative
difficulty,negative
diminish,negative
diminished,negative
diminishes,negative
diminishing,negative
diminution,negative
disadvantage,negative
disadvantaged,negative
disadvantageous,negative
disadvantages,negative
disaffiliation,negative
disagree,negative
disagreeable,negative
disagreed,negative
disagreeing,negative
disagreement,negative
disagreements,negative
disagrees,negative
disallow,negative
disallowance,negative
disallowances,negative
disallowed,negative
disallowing,negative
disallows,negative
disappear,negative
disappearance,negative
disappearances,negative
disappeared,negative
disappearing,negative
disappears,negative
disappoint,negative
disappointed,negative
disappointing,negative
disappointingly,negative
disappointment,negative
disappointments,negative
disappoints,negative
disapproval,negative
disapprovals,negative
disapprove,negative
disapproved,negative
disapproves,negative
disapproving,negative
disassociates,negative
disassociating,negative
disassociation,negative
disassociations,negative
disaster,negative
disasters,negative
disastrous,negative
disastrously,negative
disavow,negative
disavowal,negative
disavowed,negative
disavowing,negative
disavows,negative
disciplinary,negative
disclaim,negative
disclaimed,negative
disclaimer,negative
disclaimers,negative
disclaiming,negative
disclaims,negative
disclose,negative
disclosed,negative
discloses,negative
disclosing,negative
discontinuance,negative
discontinuances,negative
discontinuation,negative
discontinuations,negative
discontinue,negative
discontinued,negative
discontinues,negative
discontinuing,negative
discourage,negative
discouraged,negative
discourages,negative
discouraging,negative
discredit,negative
discredited,negative
discrediting,negative
discredits,negative
discrepancies,negative
discrepancy,negative
disfavor,negative
disfavored,negative
disfavoring,negative
disfavors,negative
disgorge,negative
disgorged,negative
disgorgement,negative
disgorgements,negative
disgorges,negative
disgorging,negative
disgrace,negative
disgraceful,negative
disgracefully,negative
dishonest,negative
dishonestly,negative
dishonesty,negative
dishonor,negative
dishonorable,negative
dishonorably,negative
dishonored,negative
dishonoring,negative
dishonors,negative
disincentives,negative
disinterested,negative
disinterestedly,negative
disinterestedness,negative
disloyal,negative
disloyally,negative
disloyalty,negative
dismal,negative
dismally,negative
dismiss,negative
dismissal,negative
dismissals,negative
dismissed,negative
dismisses,negative
dismissing,negative
disorderly,negative
disparage,negative
disparaged,negative
disparagement,negative
disparagements,negative
disparages,negative
disparaging,negative
disparagingly,negative
disparities,negative
disparity,negative
displace,negative
displaced,negative
displacement,negative
displacements,negative
displaces,negative
displacing,negative
dispose,negative
dispossess,negative
dispossessed,negative
dispossesses,negative
dispossessing,negative
disproportion,negative
disproportional,negative
disproportionate,negative
disproportionately,negative
dispute,negative
disputed,negative
disputes,negative
disputing,negative
disqualification,negative
disqualifications,negative
disqualified,negative
disqualifies,negative
disqualify,negative
disqualifying,negative
disregard,negative
disregarded,negative
disregarding,negative
disregards,negative
disreputable,negative
disrepute,negative
disrupt,negative
disrupted,negative
disrupting,negative
disruption,negative
disruptions,negative
disruptive,negative
disrupts,negative
dissatisfaction,negative
dissatisfied,negative
dissent,negative
dissented,negative
dissenter,negative
dissenters,negative
dissenting,negative
dissents,negative
dissident,negative
dissidents,negative
dissolution,negative
dissolutions,negative
distort,negative
distorted,negative
distorting,negative
distortion,negative
distortions,negative
distorts,negative
distract,negative
distracted,negative
distracting,negative
distraction,negative
distractions,negative
distracts,negative
distress,negative
distressed,negative
disturb,negative
disturbance,negative
disturbances,negative
disturbed,negative
disturbing,negative
disturbs,negative
diversion,negative
divert,negative
diverted,negative
diverting,negative
diverts,negative
divest,negative
divested,negative
divesting,negative
divestiture,negative
divestitures,negative
divestment,negative
divestments,negative
divests,negative
divorce,negative
divorced,negative
divulge,negative
divulged,negative
divulges,negative
divulging,negative
doubt,negative
doubted,negative
doubtful,negative
doubts,negative
downgrade,negative
downgraded,negative
downgrades,negative
downgrading,negative
downsize,negative
downsized,negative
downsizes,negative
downsizing,negative
downsizings,negative
downtime,negative
downtimes,negative
downturn,negative
downturns,negative
downward,negative
downwards,negative
drag,negative
drastic,negative
drastically,negative
drawback,negative
drawbacks,negative
dropped,negative
drought,negative
droughts,negative
duress,negative
dysfunction,negative
dysfunctional,negative
dysfunctions,negative
easing,negative
egregious,negative
egregiously,negative
embargo,negative
embargoed,negative
embargoes,negative
embargoing,negative
embarrass,negative
embarrassed,negative
embarrasses,negative
embarrassing,negative
embarrassment,negative
embarrassments,negative
embezzle,negative
embezzled,negative
embezzlement,negative
embezzlements,negative
embezzler,negative
embezzles,negative
embezzling,negative
encroach,negative
encroached,negative
encroaches,negative
encroaching,negative
encroachment,negative
encroachments,negative
encumber,negative
encumbered,negative
encumbering,negative
encumbers,negative
encumbrance,negative
encumbrances,negative
endanger,negative
endangered,negative
endangering,negative
endangerment,negative
endangers,negative
enjoin,negative
enjoined,negative
enjoining,negative
enjoins,negative
erode,negative
eroded,negative
erodes,negative
eroding,negative
erosion,negative
erratic,negative
erratically,negative
erred,negative
erring,negative
erroneous,negative
erroneously,negative
error,negative
errors,negative
errs,negative
escalate,negative
escalated,negative
escalates,negative
escalating,negative
evade,negative
evaded,negative
evades,negative
evading,negative
evasion,negative
evasions,negative
evasive,negative
evict,negative
evicted,negative
evicting,negative
eviction,negative
evictions,negative
evicts,negative
exacerbate,negative
exacerbated,negative
exacerbates,negative
exacerbating,negative
exacerbation,negative
exacerbations,negative
exaggerate,negative
exaggerated,negative
exaggerates,negative
exaggerating,negative
exaggeration,negative
excessive,negative
excessively,negative
exculpate,negative
exculpated,negative
exculpates,negative
exculpating,negative
exculpation,negative
exculpations,negative
exculpatory,negative
exonerate,negative
exonerated,negative
exonerates,negative
exonerating,negative
exoneration,negative
exonerations,negative
exploit,negative
exploitation,negative
exploitations,negative
exploitative,negative
exploited,negative
exploiting,negative
exploits,negative
expose,negative
exposed,negative
exposes,negative
exposing,negative
expropriate,negative
expropriated,negative
expropriates,negative
expropriating,negative
expropriation,negative
expropriations,negative
expulsion,negative
expulsions,negative
extenuating,negative
fail,negative
failed,negative
failing,negative
failings,negative
fails,negative
failure,negative
failures,negative
fallout,negative
false,negative
falsely,negative
falsification,negative
falsifications,negative
falsified,negative
falsifies,negative
falsify,negative
falsifying,negative
falsity,negative
fatalities,negative
fatality,negative
fatally,negative
fault,negative
faulted,negative
faults,negative
faulty,negative
fear,negative
fears,negative
felonies,negative
felonious,negative
felony,negative
fictitious,negative
fined,negative
fines,negative
fired,negative
firing,negative
flaw,negative
flawed,negative
flaws,negative
forbid,negative
forbidden,negative
forbidding,negative
forbids,negative
force,negative
forced,negative
forcing,negative
foreclose,negative
foreclosed,negative
forecloses,negative
foreclosing,negative
foreclosure,negative
foreclosures,negative
forego,negative
foregoes,negative
foregone,negative
forestall,negative
forestalled,negative
forestalling,negative
forestalls,negative
forfeit,negative
forfeited,negative
forfeiting,negative
forfeits,negative
forfeiture,negative
forfeitures,negative
forgers,negative
forgery,negative
fraud,negative
frauds,negative
fraudulence,negative
fraudulent,negative
fraudulently,negative
frivolous,negative
frivolously,negative
frustrate,negative
frustrated,negative
frustrates,negative
frustrating,negative
frustratingly,negative
frustration,negative
frustrations,negative
fugitive,negative
fugitives,negative
gratuitous,negative
gratuitously,negative
grievance,negative
grievances,negative
grossly,negative
groundless,negative
guilty,negative
halt,negative
halted,negative
hamper,negative
hampered,negative
hampering,negative
hampers,negative
harass,negative
harassed,negative
harassing,negative
harassment,negative
hardship,negative
hardships,negative
harm,negative
harmed,negative
harmful,negative
harmfully,negative
harming,negative
harms,negative
harsh,negative
harsher,negative
harshest,negative
harshly,negative
harshness,negative
hazard,negative
hazardous,negative
hazards,negative
hinder,negative
hindered,negative
hindering,negative
hinders,negative
hindrance,negative
hindrances,negative
hostile,negative
hostility,negative
hurt,negative
hurting,negative
idle,negative
idled,negative
idling,negative
ignore,negative
ignored,negative
ignores,negative
ignoring,negative
ill,negative
illegal,negative
illegalities,negative
illegality,negative
illegally,negative
illegible,negative
illicit,negative
illicitly,negative
illiquid,negative
illiquidity,negative
imbalance,negative
imbalances,negative
immature,negative
immoral,negative
impair,negative
impaired,negative
impairing,negative
impairment,negative
impairments,negative
impairs,negative
impasse,negative
impasses,negative
impede,negative
impeded,negative
impedes,negative
impediment,negative
impediments,negative
impeding,negative
impending,negative
imperative,negative
imperfection,negative
imperfections,negative
imperil,negative
impermissible,negative
implicate,negative
implicated,negative
implicates,negative
implicating,negative
impossibility,negative
impossible,negative
impound,negative
impounded,negative
impounding,negative
impounds,negative
impracticable,negative
impractical,negative
impracticalities,negative
impracticality,negative
imprisonment,negative
improper,negative
improperly,negative
improprieties,negative
impropriety,negative
imprudent,negative
imprudently,negative
inability,negative
inaccessible,negative
inaccuracies,negative
inaccuracy,negative
inaccurate,negative
inaccurately,negative
inaction,negative
inactions,negative
inactivate,negative
inactivated,negative
inactivates,negative
inactivating,negative
inactivation,negative
inactivations,negative
inactivity,negative
inadequacies,negative
inadequacy,negative
inadequate,negative
inadequately,negative
inadvertent,negative
inadvertently,negative
inadvisability,negative
inadvisable,negative
inappropriate,negative
inappropriately,negative
inattention,negative
incapable,negative
incapacitated,negative
incapacity,negative
incarcerate,negative
incarcerated,negative
incarcerates,negative
incarcerating,negative
incarceration,negative
incarcerations,negative
incidence,negative
incidences,negative
incident,negative
incidents,negative
incompatibilities,negative
incompatibility,negative
incompatible,negative
incompetence,negative
incompetency,negative
incompetent,negative
incompetently,negative
incompetents,negative
incomplete,negative
incompletely,negative
incompleteness,negative
inconclusive,negative
inconsistencies,negative
inconsistency,negative
inconsistent,negative
inconsistently,negative
inconvenience,negative
inconveniences,negative
inconvenient,negative
incorrect,negative
incorrectly,negative
incorrectness,negative
indecency,negative
indecent,negative
indefeasible,negative
indefeasibly,negative
indict,negative
indictable,negative
indicted,negative
indicting,negative
indictment,negative
indictments,negative
ineffective,negative
ineffectively,negative
ineffectiveness,negative
inefficiencies,negative
inefficiency,negative
inefficient,negative
inefficiently,negative
ineligibility,negative
ineligible,negative
inequitable,negative
inequitably,negative
inequities,negative
inequity,negative
inevitable,negative
inexperience,negative
inexperienced,negative
inferior,negative
inflicted,negative
infraction,negative
infractions,negative
infringe,negative
infringed,negative
infringement,negative
infringements,negative
infringes,negative
infringing,negative
inhibited,negative
inimical,negative
injunction,negative
injunctions,negative
injure,negative
injured,negative
injures,negative
injuries,negative
injuring,negative
injurious,negative
injury,negative
inordinate,negative
inordinately,negative
inquiry,negative
insecure,negative
insensitive,negative
insolvencies,negative
insolvency,negative
insolvent,negative
instability,negative
insubordination,negative
insufficiency,negative
insufficient,negative
insufficiently,negative
insurrection,negative
insurrections,negative
intentional,negative
interfere,negative
interfered,negative
interference,negative
interferences,negative
interferes,negative
interfering,negative
intermittent,negative
intermittently,negative
interrupt,negative
interrupted,negative
interrupting,negative
interruption,negative
interruptions,negative
interrupts,negative
intimidation,negative
intrusion,negative
invalid,negative
invalidate,negative
invalidated,negative
invalidates,negative
invalidating,negative
invalidation,negative
invalidity,negative
investigate,negative
investigated,negative
investigates,negative
investigating,negative
investigation,negative
investigations,negative
involuntarily,negative
involuntary,negative
irreconcilable,negative
irreconcilably,negative
irrecoverable,negative
irrecoverably,negative
irregular,negative
irregularities,negative
irregularity,negative
irregularly,negative
irreparable,negative
irreparably,negative
irreversible,negative
jeopardize,negative
jeopardized,negative
justifiable,negative
kickback,negative
kickbacks,negative
knowingly,negative
lack,negative
lacked,negative
lacking,negative
lackluster,negative
lacks,negative
lag,negative
lagged,negative
lagging,negative
lags,negative
lapse,negative
lapsed,negative
lapses,negative
lapsing,negative
late,negative
laundering,negative
layoff,negative
layoffs,negative
lie,negative
limitation,negative
limitations,negative
lingering,negative
liquidate,negative
liquidated,negative
liquidates,negative
liquidating,negative
liquidation,negative
liquidations,negative
liquidator,negative
liquidators,negative
litigant,negative
litigants,negative
litigate,negative
litigated,negative
litigates,negative
litigating,negative
litigation,negative
litigations,negative
lockout,negative
lockouts,negative
lose,negative
loses,negative
losing,negative
loss,negative
losses,negative
lost,negative
lying,negative
malfeasance,negative
malfunction,negative
malfunctioned,negative
malfunctioning,negative
malfunctions,negative
malice,negative
malicious,negative
maliciously,negative
malpractice,negative
manipulate,negative
manipulated,negative
manipulates,negative
manipulating,negative
manipulation,negative
manipulations,negative
manipulative,negative
markdown,negative
markdowns,negative
misapplication,negative
misapplications,negative
misapplied,negative
misapplies,negative
misapply,negative
misapplying,negative
misappropriate,negative
misappropriated,negative
misappropriates,negative
misappropriating,negative
misappropriation,negative
misappropriations,negative
misbranded,negative
miscalculate,negative
miscalculated,negative
miscalculates,negative
miscalculating,negative
miscalculation,negative
miscalculations,negative
mischaracterization,negative
mischief,negative
misclassification,negative
misclassifications,negative
misclassified,negative
misclassify,negative
miscommunication,negative
misconduct,negative
misdated,negative
misdemeanor,negative
misdemeanors,negative
misdirected,negative
mishandle,negative
mishandled,negative
mishandles,negative
mishandling,negative
misinform,negative
misinformation,negative
misinformed,negative
misinforming,negative
misinforms,negative
misinterpret,negative
misinterpretation,negative
misinterpretations,negative
misinterpreted,negative
misinterpreting,negative
misinterprets,negative
misjudge,negative
misjudged,negative
misjudges,negative
misjudging,negative
misjudgment,negative
misjudgments,negative
mislabel,negative
mislabeled,negative
mislabeling,negative
mislabelled,negative
mislabels,negative
mislead,negative
misleading,negative
misleadingly,negative
misleads,negative
misled,negative
mismanage,negative
mismanaged,negative
mismanagement,negative
mismanages,negative
mismanaging,negative
mismatch,negative
mismatched,negative
mismatches,negative
mismatching,negative
misplaced,negative
misprice,negative
mispricing,negative
mispricings,negative
misrepresent,negative
misrepresentation,negative
misrepresentations,negative
misrepresented,negative
misrepresenting,negative
misrepresents,negative
miss,negative
missed,negative
misses,negative
misstate,negative
misstated,negative
misstatement,negative
misstatements,negative
misstates,negative
misstating,negative
misstep,negative
missteps,negative
mistake,negative
mistaken,negative
mistakenly,negative
mistakes,negative
